"sitecode","date","pop_total","pop_density"
"BBS",1990-01-01,271475,44.3446649669148
"BBS",1995-01-01,289835,47.343718466473
"BBS",2000-01-01,306050,49.9923923496612
"BBS",2005-01-01,319313,52.1588654740969
"BBS",2010-01-01,330100,53.9208910786576
"BBS",2015-01-01,339581,55.4695853177268
"BCI",1990-01-01,863392,201.216540612271
"BCI",1995-01-01,973967,226.986433057651
"BCI",2000-01-01,1088027,253.568517003571
"BCI",2005-01-01,1194364,278.350728651452
"BCI",2010-01-01,1298710,302.668930750531
"BCI",2015-01-01,1400644,326.425007770901
"BIF",1990-01-01,1850470,230.1714811164
"BIF",1995-01-01,1891935,235.329122399151
"BIF",2000-01-01,2215319,275.553375831709
"BIF",2005-01-01,2455113,305.380252324074
"BIF",2010-01-01,2749435,341.989616791015
"BIF",2015-01-01,3066183,381.388448601667
"CAX",1990-01-01,5948,2.03839336389155
"CAX",1995-01-01,7081,2.42667508569537
"CAX",2000-01-01,8278,2.83688975559756
"CAX",2005-01-01,9663,3.31153246053868
"CAX",2010-01-01,11122,3.81153513671854
"CAX",2015-01-01,12628,4.32764482165812
"COU",1990-01-01,865,0.233733602187322
"COU",1995-01-01,985,0.266159073010997
"COU",2000-01-01,1195,0.322903646952427
"COU",2005-01-01,1493,0.403426899497886
"COU",2010-01-01,1803,0.487192699125712
"COU",2015-01-01,2081,0.562311706533892
"CSN",1990-01-01,1168,0.233012214065825
"CSN",1995-01-01,935,0.186529469307831
"CSN",2000-01-01,701,0.139847227791219
"CSN",2005-01-01,701,0.139847227791219
"CSN",2010-01-01,468,0.0933644830332244
"CSN",2015-01-01,467,0.0931649862746064
"KRP",1990-01-01,27603,16.2548915207048
"KRP",1995-01-01,31570,18.5909837810618
"KRP",2000-01-01,35456,20.8793766531938
"KRP",2005-01-01,39496,23.258457251087
"KRP",2010-01-01,43832,25.8118467244695
"KRP",2015-01-01,48415,28.5106898878717
"MAS",1990-01-01,480125,52.2118778124955
"MAS",1995-01-01,577408,62.7910563789792
"MAS",2000-01-01,684603,74.4481295205787
"MAS",2005-01-01,803355,87.3619851081642
"MAS",2010-01-01,932766,101.434968851133
"MAS",2015-01-01,1072004,116.576603723002
"NAK",1990-01-01,108995,9.74564121514259
"NAK",1995-01-01,127380,11.3895112434961
"NAK",2000-01-01,142997,12.7858842776434
"NAK",2005-01-01,159548,14.2657696646045
"NAK",2010-01-01,176651,15.7950113885605
"NAK",2015-01-01,194163,17.3608232969928
"NNN",1990-01-01,3036,1.33077619341738
"NNN",1995-01-01,3522,1.54380558406325
"NNN",2000-01-01,3970,1.74017835568742
"NNN",2005-01-01,4487,1.96679604079835
"NNN",2010-01-01,5043,2.2105086770105
"NNN",2015-01-01,5743,2.51734113267327
"PSH",1990-01-01,148219,52.966388517086
"PSH",1995-01-01,155101,55.4256864868104
"PSH",2000-01-01,159724,57.0777257942844
"PSH",2005-01-01,160612,57.3950545645714
"PSH",2010-01-01,159229,56.9008364459825
"PSH",2015-01-01,155323,55.5050186793822
"RNF",1990-01-01,89679,42.6533116013775
"RNF",1995-01-01,102212,48.6142830027096
"RNF",2000-01-01,116821,55.5626458210341
"RNF",2005-01-01,132620,63.0769989024708
"RNF",2010-01-01,149518,71.1140606386641
"RNF",2015-01-01,167383,79.6110489163948
"UDZ",1990-01-01,383187,19.82142870474
"UDZ",1995-01-01,438404,22.6776838198395
"UDZ",2000-01-01,477741,24.7125011308609
"UDZ",2005-01-01,515978,26.6904178383253
"UDZ",2010-01-01,553703,28.6418499012249
"UDZ",2015-01-01,594943,30.7751052564
"VB",1990-01-01,1251465,147.290828339306
"VB",1995-01-01,1470061,173.018424326136
"VB",2000-01-01,1676546,197.3206195051
"VB",2005-01-01,1868525,219.915535011128
"VB",2010-01-01,2050688,241.355159101912
"VB",2015-01-01,2222192,261.540275124737
"YAN",1990-01-01,23850,6.54729028831147
"YAN",1995-01-01,23580,6.47317002089663
"YAN",2000-01-01,23247,6.38175502441831
"YAN",2005-01-01,22745,6.24394623092849
"YAN",2010-01-01,22088,6.06358691355236
"YAN",2015-01-01,21185,5.81569579697604
"YAS",1990-01-01,12787,1.95195746444982
"YAS",1995-01-01,15957,2.43586339721794
"YAS",2000-01-01,19766,3.01731377510872
"YAS",2005-01-01,24087,3.67692183046867
"YAS",2010-01-01,29037,4.43254781381321
"YAS",2015-01-01,34503,5.26694208148215
