sitecode,sitename,sitename_short,sitename_database,sitetype,country,continent,sitename_pretty
CAX,Caxiuanã,Caxiuanã,CaxiuanÃ£,I,BRA,LA,Brazil 1
MAS,Manaus,Manaus,Manaus,II,BRA,LA,Brazil 2
VB,Volcán Barva,Volcán Barva,VolcÃ¡n Barva,III,CRI,LA,Costa Rica
YAS,Yasuni,Yasuni,Yasuni,I,ECU,LA,Ecuador
BBS,Bukit Barisan,Bukit Barisan,Bukit Barisan,II,PAN,LA,Panama
COU,Cocha Cashu - Manu National Park,Cocha Cashu - Manu,Cocha Cashu - Manu National Park,I,PER,LA,Peru 1
YAN,Yanachaga Chimillén National Park,Yanachaga Chimillén,Yanachaga ChimillÃ©n National Park,I,PER,LA,Peru 2
CSN,Central Suriname Nature Reserve,Central Suriname,Central Suriname Nature Reserve,I,SUR,LA,Surinam
KRP,Korup National Park,Korup,Korup National Park,II,CMR,AF,Cameroon
NNN,Nouabalé Ndoki,Nouabalé Ndoki,NouabalÃ© Ndoki,I,COG,AF,Congo Republic
RNF,Ranomafana,Ranomafana,Ranomafana,III,MDG,AF,Madagascar
UDZ,Udzungwa,Udzungwa,Udzungwa,II,TZA,AF,Tanzania
BIF,Bwindi Impenetrable Forest,Bwindi,Bwindi Impenetrable Forest,III,UGA,AF,Uganda
BCI,Barro Colorado Nature Monument - Soberania National Park,Barro Colorado - Soberania,Barro Colorado Nature Monument - Soberania National Park,II/III,IDN,AS,Indonesia
NAK,Nam Kading,Nam Kading,Nam Kading,III,LAO,AS,Laos
PSH,Pasoh Forest Reserve,Pasoh,Pasoh Forest Reserve,III,MYS,AS,Malaysia
